date,open,high,low,close,change_pct
2005-01-07,917.2,938.7,905.6,920.3,0.1524
2005-01-10,907.3,923.7,897.0,918.1,-0.2391
2005-01-11,907.7,919.5,896.1,910.1,-0.8714
2005-01-12,895.1,905.1,882.5,897.5,-1.3845
2005-01-13,898.5,914.3,888.3,902.5,0.5571
2005-01-14,903.6,918.0,887.3,893.3,-1.0194
2005-01-17,892.1,905.4,871.7,886.1,-0.806
2005-01-18,890.6,910.7,878.7,902.5,1.8508
2005-01-19,896.2,906.4,879.9,890.9,-1.2853
2005-01-20,893.0,906.1,874.5,889.3,-0.1796
2005-01-21,938.7,972.0,913.8,958.3,7.7589
2005-01-24,1035.8,1053.6,1013.3,1034.6,7.962
2005-01-25,1043.9,1056.7001,1021.9,1044.1,0.9182
2005-01-26,1035.6,1047.9,1017.5,1027.3,-1.609
2005-01-27,1013.5,1024.2001,990.2,998.6,-2.7937
2005-01-28,979.2,991.7,957.4,968.7,-2.9942
2005-01-31,954.3,965.4,926.7,939.9,-2.9731
2005-02-01,932.6,954.7,917.2,930.2,-1.032
2005-02-02,996.0,1059.4,989.6,1052.8,13.18
2005-02-03,1113.4,1135.7001,1083.2001,1098.6,4.3503
2005-02-04,1133.9,1173.9,1121.7001,1161.3,5.7073
2005-02-16,1179.9,1204.4,1165.1,1183.1,
2005-02-17,1170.1,1186.3,1150.4,1174.6,-0.7185
2005-02-18,1158.2001,1169.2001,1134.7001,1141.9,-2.7839
2005-02-21,1144.1,1173.4,1136.5,1167.0,2.1981
2005-02-22,1247.5,1288.3,1236.4,1277.1,9.4344
2005-02-23,1357.0,1384.8,1334.7001,1362.5,6.687
2005-02-24,1400.6,1426.7001,1379.7001,1409.5,3.4495
2005-02-25,1478.0,1511.6,1463.1,1479.0,4.9308
2005-02-28,1497.8,1521.0,1472.7001,1493.4,0.9736
2005-03-01,1486.8,1507.3,1462.2001,1483.9,-0.6361
2005-03-02,1508.3,1531.1,1469.7001,1480.8,-0.2089
2005-03-03,1458.2001,1483.9,1439.6,1472.5,-0.5605
2005-03-04,1445.7001,1461.9,1423.9,1436.8,-2.4244
2005-03-07,1413.5,1436.8,1398.2001,1419.7001,-1.1901
2005-03-08,1461.0,1497.9,1448.5,1489.3,4.9024
2005-03-09,1532.4,1554.4,1509.1,1530.0,2.7328
2005-03-10,1546.9,1559.1,1496.5,1508.9,-1.3791
2005-03-11,1506.7001,1538.4,1488.6,1519.1,0.676
2005-03-14,1554.1,1587.8,1516.6,1556.8,2.4817
2005-03-15,1560.6,1579.9,1522.8,1538.6,-1.1691
2005-03-16,1523.6,1542.2001,1486.8,1509.2001,-1.9108
2005-03-17,1491.3,1512.4,1458.0,1473.2001,-2.3854
2005-03-18,1453.9,1474.2001,1412.0,1430.0,-2.9324
2005-03-21,1390.4,1416.9,1367.5,1397.3,-2.2867
2005-03-22,1395.6,1415.6,1343.1,1368.3,-2.0754
2005-03-23,1363.9,1398.6,1336.0,1362.2001,-0.4458
2005-03-24,1344.5,1372.0,1316.3,1357.2001,-0.3671
2005-03-25,1323.4,1340.4,1302.7001,1320.3,-2.7188
2005-03-28,1285.3,1300.4,1253.4,1283.2001,-2.81
2005-03-29,1255.0,1276.3,1235.8,1246.6,-2.8523
2005-03-30,1230.3,1241.5,1189.5,1203.1,-3.4895
2005-03-31,1176.9,1202.4,1158.1,1192.3,-0.8977
2005-04-01,1237.8,1312.3,1217.9,1289.5,8.1523
2005-04-04,1284.7001,1307.1,1255.4,1277.4,-0.9383
2005-04-05,1262.5,1286.7001,1241.0,1256.3,-1.6518
2005-04-06,1294.6,1338.1,1272.2001,1322.1,5.2376
2005-04-07,1407.5,1462.3,1391.1,1422.1,7.5637
2005-04-08,1451.6,1489.5,1434.1,1479.5,4.0363
2005-04-11,1518.9,1545.8,1484.6,1509.1,2.0007
2005-04-12,1495.5,1513.1,1458.8,1472.1,-2.4518
2005-04-13,1514.3,1562.5,1502.0,1537.0,4.4087
2005-04-14,1543.4,1562.0,1501.6,1516.0,-1.3663
2005-04-15,1496.4,1514.8,1459.2001,1479.8,-2.3879
2005-04-18,1448.5,1467.7001,1414.8,1438.4,-2.7977
2005-04-19,1410.2001,1434.5,1386.2001,1412.1,-1.8284
2005-04-20,1386.2001,1399.6,1345.8,1366.5,-3.2292
2005-04-21,1356.9,1382.0,1321.6,1346.9,-1.4343
2005-04-22,1342.0,1367.8,1309.6,1333.0,-1.032
2005-04-25,1323.5,1342.7001,1277.2001,1310.9,-1.6579
2005-04-26,1310.4,1349.2001,1289.5,1329.2001,1.396
2005-04-27,1326.4,1343.8,1288.1,1303.9,-1.9034
2005-04-28,1321.0,1371.9,1292.9,1354.6,3.8883
2005-04-29,1349.8,1371.4,1316.2001,1334.4,-1.4912
2005-05-09,1336.2001,1355.0,1281.0,1294.0,
2005-05-10,1277.8,1306.1,1241.0,1289.8,-0.3246
2005-05-11,1265.5,1288.9,1234.2001,1253.9,-2.7834
2005-05-12,1243.4,1264.5,1209.6,1231.9,-1.7545
2005-05-13,1221.9,1255.4,1201.0,1232.7001,0.0649
2005-05-16,1203.8,1219.0,1170.8,1193.4,-3.1881
2005-05-17,1174.1,1207.1,1160.0,1189.3,-0.3436
2005-05-18,1174.0,1195.5,1153.1,1180.2001,-0.7651
2005-05-19,1157.1,1172.5,1133.6,1158.3,-1.8556
2005-05-20,1130.4,1148.1,1114.6,1128.2001,-2.5986
2005-05-23,1100.2001,1107.8,1066.8,1078.5,-4.4053
2005-05-24,1062.0,1094.2001,1046.3,1079.6,0.102
2005-05-25,1060.6,1080.4,1045.2001,1061.7001,-1.658
2005-05-26,1043.7001,1058.5,1021.4,1032.5,-2.7503
2005-05-27,1016.9,1037.0,998.3,1009.9,-2.1889
2005-05-30,988.7,1011.0,974.6,1001.5,-0.8318
2005-05-31,988.1,1002.8,974.5,985.7,-1.5776
2005-06-01,974.8,985.3,942.3,954.7,-3.145
2005-06-02,956.0,969.0,927.3,943.1,-1.215
2005-06-03,933.7,952.3,912.1,933.4,-1.0285
2005-06-06,930.5,962.0,911.6,956.7,2.4963
